,original_food_id,original_food_name,food_genus_id,food_genus_description,food_group,food_subgroup,food_genus_confidence,fct_name,data_reference_original_id,moisture_in_g,energy_in_kcal,energy_in_kj,nitrogen_in_g,totalprotein_in_g,totalfats_in_g,saturatedfa_in_g,monounsaturatedfa_in_g,polyunsaturatedfa_in_g,cholesterol_in_mg,carbohydrates_in_g,fibre_in_g,ash_in_g,ca_in_mg,fe_in_mg,mg_in_mg,p_in_mg,k_in_mg,na_in_mg,zn_in_mg,cu_in_mg,mn_in_mcg,i_in_mcg,se_in_mcg,vitamina_in_rae_in_mcg,thiamin_in_mg,riboflavin_in_mg,niacin_in_mg,vitaminb6_in_mg,folicacid_in_mcg,folate_in_mcg,vitaminb12_in_mcg,pantothenate_in_mg,biotin_in_mcg,vitaminc_in_mg,vitamind_in_mcg,vitamine_in_mg,phyticacid_in_mg
76,NA,Sugar (Raw Equivalent),23520.01,"sugar, white",Other foods,Sugar (Raw Equivalent) and products,h,regional-SSA-fct,NA,NA,405.831739,NA,NA,0,0,NA,NA,NA,NA,99.9,0,NA,1,0.1,0,NA,NA,NA,0.03,0.04,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
77,NA,Sugar Beet,1801.01,"beetroots, sugar, raw",Other foods,Sugar beet and products,h,regional-SSA-fct,NA,NA,40.630975,NA,NA,1.6,0.1,NA,NA,NA,NA,5.8,2.4,NA,17,0.8,26,NA,NA,NA,0.29,0.08,NA,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
78,NA,Sugar Cane,1802.01,sugar canes,Other foods,Sugar cane and products,h,regional-SSA-fct,NA,NA,26,NA,NA,0,0,NA,NA,NA,NA,6.8,0,NA,6,0.1,2,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
79,NA,"Sugar, Non-Centrifugal",23511.02.01,"syrups, sugar cane",NA,Sugar non-centrifugal and products,m,regional-SSA-fct,NA,NA,56,NA,NA,0,0,NA,NA,NA,NA,14.6,0,NA,13,0.3,4,NA,NA,NA,0,0.1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
80,NA,Sunflowerseed,1445.01,"sunflower seeds, dried",Other foods,Sunflower seed and products,h,regional-SSA-fct,NA,NA,607.552581,NA,NA,22.8,49.6,NA,NA,NA,NA,12.2,6.6,NA,116,6.8,354,NA,NA,NA,5.06,1.75,NA,0,59.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5160
81,NA,Sunflowerseed Oil,21631.01.01,sunflower oil,Other foods,Sunflowerseed Oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
82,NA,Sweet Potatoes,1530.01,"sweet potato, white-flesh, raw",Roots and Tubers,Sweet potatoes and products,m,regional-SSA-fct,NA,NA,77.198852,NA,NA,1.1,0.1,NA,NA,NA,NA,15.6,2.1,NA,12,0.3,13,NA,NA,NA,0.18,0.11,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
83,NA,"Sweeteners, Other",23210.01.01,"fructose, powder",Other foods,"Sweeteners, Other and products",m,regional-SSA-fct,NA,NA,368,NA,NA,0,0,NA,NA,NA,NA,100,0,NA,0,0.1,0,NA,NA,NA,0,0.2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
84,NA,Tea,23914.01,tea beverages,Other foods,Tea (including mate) and products,m,regional-SSA-fct,NA,NA,1.195028,NA,NA,0,0,NA,NA,NA,NA,0.3,0,NA,0,0,3,NA,NA,NA,0.02,0.01,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
85,NA,Tomatoes,1234.01,"tomatoes, raw",Fruits and Vegetables,Tomatoes and products,h,regional-SSA-fct,NA,NA,21.749521,NA,NA,0.9,0.2,NA,NA,NA,NA,2.9,1.1,NA,8,0.2,11,NA,NA,NA,0.16,0.07,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
86,NA,"Vegetables, Other",1212.02,"cabbages, chinese, raw",Fruits and Vegetables,"Vegetables, Other and products",m,regional-SSA-fct,NA,NA,20.793499,NA,NA,0.9,0.1,NA,NA,NA,NA,2.2,1.8,NA,40,0.4,7,NA,NA,NA,0.14,0,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
87,NA,Wheat,111.01,"wheat grain, unrefined",Cereals,Wheat and products,m,regional-SSA-fct,NA,NA,351.099426,NA,NA,11.9,1.8,NA,NA,NA,NA,59.9,10.7,NA,8,2.4,68,NA,NA,NA,1.92,0.27,NA,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282
88,NA,Wine,24212.02.02,"wine, red",Other foods,Wine and products,m,regional-SSA-fct,NA,NA,71.70172,NA,NA,0.2,0,NA,NA,NA,NA,1.4,0,NA,8,0.4,10,NA,NA,NA,0.07,0.01,NA,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7
89,NA,Yams,1540.01,"yams, raw",Roots and Tubers,Yams and products,h,regional-SSA-fct,NA,NA,97,NA,NA,2.1,0.1,NA,NA,NA,NA,21.7,1.2,NA,8,0.8,26,NA,NA,NA,0.5,0.17,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
